"","ticker","tic","gvkey"
"1","AAPL","AAPL",1690
"2","MSFT","MSFT",12141
"3","AMZN","AMZN",64768
"4","TSLA","TSLA",184996
"5","GOOGL","GOOGL",160329
"6","BRK.B","BRK.B",2176
"7","UNH","UNH",10903
"8","NVDA","NVDA",117768
"9","JNJ","JNJ",6266
"10","XOM","XOM",4503
"11","META","META",170617
"12","PG","PG",8762
"13","V","V",179534
"14","JPM","JPM",2968
"15","CVX","CVX",2991
"16","HD","HD",5680
"17","MA","MA",160225
"18","PFE","PFE",8530
"19","LLY","LLY",6730
"20","KO","KO",3144
"21","ABBV","ABBV",16101
"22","PEP","PEP",8479
"23","COST","COST",29028
"24","BAC","BAC",7647
"25","TMO","TMO",10530
"26","MRK","MRK",7257
"27","AVGO","AVGO",180711
"28","ADBE","ADBE",12540
"29","MCD","MCD",7154
"30","ACN","ACN",143357
"31","DIS","DIS",3980
"32","VZ","VZ",2136
"33","ABT","ABT",1078
"34","CSCO","CSCO",20779
"35","WMT","WMT",11259
"36","DHR","DHR",3735
"37","CRM","CRM",157855
"38","CMCSA","CMCSA",3226
"39","NEE","NEE",4517
"40","QCOM","QCOM",24800
"41","TXN","TXN",10499
"42","WFC","WFC",8007
"43","AMD","AMD",1161
"44","BMY","BMY",2403
"45","PM","PM",179621
"46","LIN","LIN",25124
"47","INTC","INTC",6008
"48","NKE","NKE",7906
"49","UPS","UPS",10920
"50","UNP","UNP",10867
"51","RTX","RTX",10983
"52","T","T",9899
"53","AMGN","AMGN",1602
"54","HON","HON",1300
"55","SPGI","SPGI",7163
"56","INTU","INTU",27928
"57","CVS","CVS",7241
"58","MDT","MDT",7228
"59","LOW","LOW",6829
"60","AMT","AMT",105365
"61","COP","COP",8549
"62","ORCL","ORCL",12142
"63","IBM","IBM",6066
"64","MS","MS",12124
"65","ELV","ELV",145046
"66","GS","GS",114628
"67","SCHW","SCHW",13988
"68","LMT","LMT",6774
"69","ADP","ADP",1891
"70","C","C",3243
"71","NFLX","NFLX",147579
"72","CAT","CAT",2817
"73","SBUX","SBUX",25434
"74","PLD","PLD",29984
"75","BLK","BLK",124434
"76","DE","DE",3835
"77","AMAT","AMAT",1704
"78","AXP","AXP",1447
"79","NOW","NOW",171007
"80","BA","BA",2285
"81","MDLZ","MDLZ",142953
